;"2016-2017";;"2015-2016";;"2014-2015";;"2013-2014";;"2012-2013";;"2011-2012";;"2010-2011";;"2009-2010";;"2008-2009";;"2007-2008";;"2006-2007";;"2005-2006";;"2004-2005";;"2003-2004";;"2002-2003";;"2001-2002";;"2000-2001";;"1999-2000";;"1998-1999";;"1997-1998";;"1996-1997";;"1995-1996";;"1994-1995";;"1993-1994";;"1992-1993";;"1991-1992";;"1990-1991";;"1989-1990";;"1988-1989";;"1987-1988";;"1986-1987";;"1985-1986";
;"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres"
"Universidades Públicas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"   06-Informática";"39857.0";"4876.0";"39509.0";"4889.0";"41019.0";"5344.0";"43018.0";"5853.0";"44481.0";"6337.0";"49265.0";"7252.0";"51056.0";"7814.0";"54475.0";"8611.0";"59897.0";"9823.0";"64392.0";"10949.0";"71880.0";"12908.0";"78112.0";"14414.0";"82492.0";"16207.0";"85790.0";"23374.0";"97971.0";"30540.0";"81096.0";"17436.0";"79464.0";"16900.0";"73312.0";"17258.0";"66074.0";"15888.0";"63569.0";"13886.0";"60765.0";"13502.0";"57228.0";"13214.0";"52416.0";"12772.0";"47663.0";"11029.0";"40824.0";"10070.0";"38680.0";"9692.0";"34838.0";"9468.0";"31276.0";"8584.0";"27951.0";"7811.0";"24118.0";"7171.0";"20748.0";"6265.0";"17299.0";"5211.0"
"Univ. Públicas Presenciales";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"   06-Informática";"35319.0";"4254.0";"34810.0";"4285.0";"35724.0";"4645.0";"37566.0";"5034.0";"38605.0";"5452.0";"42200.0";"6160.0";"43359.0";"6646.0";"46017.0";"7295.0";"49784.0";"8177.0";"54158.0";"9316.0";"60286.0";"10986.0";"64782.0";"12047.0";"67484.0";"13427.0";"68347.0";"13973.0";"67233.0";"13936.0";"63703.0";"14031.0";"61139.0";"13194.0";"58715.0";"14543.0";"56474.0";"14244.0";"55247.0";"12491.0";"53067.0";"12123.0";"50996.0";"12069.0";"48428.0";"12037.0";"45126.0";"10575.0";"40824.0";"10070.0";"38680.0";"9692.0";"34838.0";"9468.0";"31276.0";"8584.0";"27951.0";"7811.0";"24118.0";"7171.0";"20748.0";"6265.0";"17299.0";"5211.0"
"A Coruña";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"   06-Informática";"1221.0";"169.0";"1380.0";"188.0";"1477.0";"212.0";"1548.0";"231.0";"1552.0";"226.0";"1586.0";"258.0";"1678.0";"274.0";"1827.0";"316.0";"1679.0";"279.0";"1825.0";"351.0";"1990.0";"416.0";"2090.0";"443.0";"2137.0";"491.0";"2371.0";"551.0";"2304.0";"548.0";"2161.0";"506.0";"2059.0";"458.0";"1896.0";"407.0";"1792.0";"406.0";"1724.0";"397.0";"1659.0";"396.0";"1561.0";"385.0";"1444.0";"380.0";"1318.0";"391.0";"1260.0";"331.0";"1216.0";"307.0";"1110.0";"323.0";"912.0";"273.0";".";".";".";".";".";".";".";"."
"Alcalá";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"   06-Informática";"651.0";"95.0";"677.0";"106.0";"699.0";"118.0";"865.0";"160.0";"915.0";"163.0";"937.0";"160.0";"1017.0";"178.0";"1195.0";"209.0";"1197.0";"219.0";"1347.0";"264.0";"1504.0";"289.0";"1648.0";"314.0";"1674.0";"341.0";"1612.0";"327.0";"1421.0";"307.0";"1081.0";"248.0";"956.0";"214.0";"770.0";"402.0";"708.0";"170.0";"573.0";"149.0";"487.0";"140.0";"465.0";"132.0";"423.0";"111.0";"376.0";"105.0";"305.0";"81.0";"200.0";"56.0";"114.0";"33.0";".";".";".";".";".";".";".";".";".";"."
"Alicante";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
