"Series históricas de estudiantes";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"II.2.3.d Estudiantes matriculados por curso académico, universidad. sexo y campo de estudio. Grado.   ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Unidades:Número de estudiantes egresados";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"2015-2016";;"2014-2015";;"2013-2014";;"2012-2013";;"2011-2012";;"2010-2011";;"2009-2010";;"2008-2009";;"2007-2008";;"2006-2007";;"2005-2006";;"2004-2005";;"2003-2004";;"2002-2003";;"2001-2002";;"2000-2001";;"1999-2000";;"1998-1999";;"1997-1998";;"1996-1997";;"1995-1996";;"1994-1995";;"1993-1994";;"1992-1993";;"1991-1992";;"1990-1991";;"1989-1990";;"1988-1989";;"1987-1988";;"1986-1987";;"1985-1986";
;"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres";"Ambos sexos";"Mujeres"
"Universidades Públicas";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"   06-Informática";"3270.0";"472.0";"2768.0";"378.0";"1920.0";"260.0";"893.0";"148.0";"453.0";"81.0";"247.0";"63.0";"121.0";"29.0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Univ. Públicas Presenciales";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"   06-Informática";"3227.0";"469.0";"2748.0";"375.0";"1912.0";"258.0";"893.0";"148.0";"453.0";"81.0";"247.0";"63.0";"121.0";"29.0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"A Coruña";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"   06-Informática";"89.0";"4.0";"69.0";"7.0";"52.0";"10.0";"11.0";"1.0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Alcalá";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"   06-Informática";"88.0";"14.0";"79.0";"13.0";"81.0";"13.0";"58.0";"5.0";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";".";"."
"Alicante";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
