
Estudiantes matriculados
1.1.6 Número de estudiantes matriculados en U. Públicas, por campo  de estudio, sexo y universidad. Estudios de Grado y 1º y 2º Ciclo.
Unidades: Estudiantes matriculados

;06-Informática;
;2016-2017;
Ambos Sexos;
    Total Universidades Públicas;40036.0;
    Total Universidades Públicas Presenciales;35696.0;
    A Coruña;1219.0;
    Alcalá;653.0;
    Alicante;1295.0;
    Almería;443.0;
    Autónoma de Barcelona;1226.0;
    Autónoma de Madrid;661.0;
    Barcelona;296.0;
    Burgos;335.0;
    Cádiz;771.0;
    Cantabria;275.0;
    Carlos III de Madrid;889.0;
    Castilla-La Mancha;1044.0;
    Complutense de Madrid;1346.0;
    Córdoba;509.0;
    Extremadura;459.0;
    Girona;420.0;
    Granada;1354.0;
    Huelva;326.0;
    Illes Balears (Les);511.0;
    Jaén;504.0;
    Jaume I de Castellón;696.0;
    La Laguna;557.0;
    La Rioja;173.0;
    Las Palmas de Gran Canaria;574.0;
    León;463.0;
    Lleida;230.0;
    Málaga;833.0;
    Miguel Hernández de Elche;191.0;
    Murcia;860.0;
    Oviedo;973.0;
    Pablo de Olavide;204.0;
    País Vasco/Euskal Herriko Unibertsitatea;1009.0;
    Politécnica de Cartagena;..;
    Politécnica de Catalunya;2216.0;
    Politécnica de Madrid;2852.0;
    Politècnica de València;1993.0;
    Pompeu Fabra;557.0;
    Pública de Navarra;313.0;
    Rey Juan Carlos;1280.0;
    Rovira i Virgili;341.0;
    Salamanca;745.0;
    Santiago de Compostela;318.0;
    Sevilla;1671.0;
    València (Estudi General);513.0;
    Valladolid;603.0;
    Vigo;464.0;
    Zaragoza;531.0;
    Total Universidades Públicas No Presenciales;4340.0;
    Nacional de Educación a Distancia;4340.0;
Mujeres;
    Total Universidades Públicas;4948.0;
    Total Universidades Públicas Presenciales;4352.0;
    A Coruña;169.0;
    Alcalá;95.0;
    Alicante;194.0;
    Almería;40.0;
    Autónoma de Barcelona;102.0;
    Autónoma de Madrid;90.0;
    Barcelona;27.0;
    Burgos;39.0;
    Cádiz;103.0;
    Cantabria;28.0;
    Carlos III de Madrid;129.0;
    Castilla-La Mancha;141.0;
    Complutense de Madrid;182.0;
    Córdoba;41.0;
    Extremadura;53.0;
    Girona;31.0;
    Granada;138.0;
    Huelva;38.0;
    Illes Balears (Les);38.0;
    Jaén;45.0;
    Jaume I de Castellón;93.0;
    La Laguna;76.0;
    La Rioja;33.0;
    Las Palmas de Gran Canaria;66.0;
    León;83.0;
    Lleida;12.0;
    Málaga;79.0;
    Miguel Hernández de Elche;21.0;
    Murcia;86.0;
    Oviedo;169.0;
    Pablo de Olavide;22.0;
    País Vasco/Euskal Herriko Unibertsitatea;147.0;
    Politécnica de Cartagena;..;
    Politécnica de Catalunya;179.0;
    Politécnica de Madrid;422.0;
    Politècnica de València;202.0;
    Pompeu Fabra;64.0;
    Pública de Navarra;52.0;
    Rey Juan Carlos;179.0;
    Rovira i Virgili;35.0;
    Salamanca;105.0;
    Santiago de Compostela;42.0;
    Sevilla;192.0;
    València (Estudi General);86.0;
    Valladolid;72.0;
    Vigo;62.0;
    Zaragoza;50.0;
    Total Universidades Públicas No Presenciales;596.0;
    Nacional de Educación a Distancia;596.0;
Hombres;
    Total Universidades Públicas;35088.0;
    Total Universidades Públicas Presenciales;31344.0;
    A Coruña;1050.0;
    Alcalá;558.0;
    Alicante;1101.0;
    Almería;403.0;
    Autónoma de Barcelona;1124.0;
    Autónoma de Madrid;571.0;
    Barcelona;269.0;
    Burgos;296.0;
    Cádiz;668.0;
    Cantabria;247.0;
    Carlos III de Madrid;760.0;
    Castilla-La Mancha;903.0;
    Complutense de Madrid;1164.0;
    Córdoba;468.0;
    Extremadura;406.0;
    Girona;389.0;
    Granada;1216.0;
    Huelva;288.0;
    Illes Balears (Les);473.0;
    Jaén;459.0;
    Jaume I de Castellón;603.0;
    La Laguna;481.0;
    La Rioja;140.0;
    Las Palmas de Gran Canaria;508.0;
    León;380.0;
    Lleida;218.0;
    Málaga;754.0;
    Miguel Hernández de Elche;170.0;
    Murcia;774.0;
    Oviedo;804.0;
    Pablo de Olavide;182.0;
    País Vasco/Euskal Herriko Unibertsitatea;862.0;
    Politécnica de Cartagena;..;
    Politécnica de Catalunya;2037.0;
    Politécnica de Madrid;2430.0;
    Politècnica de València;1791.0;
    Pompeu Fabra;493.0;
    Pública de Navarra;261.0;
    Rey Juan Carlos;1101.0;
    Rovira i Virgili;306.0;
    Salamanca;640.0;
    Santiago de Compostela;276.0;
    Sevilla;1479.0;
    València (Estudi General);427.0;
    Valladolid;531.0;
    Vigo;402.0;
    Zaragoza;481.0;
    Total Universidades Públicas No Presenciales;3744.0;
    Nacional de Educación a Distancia;3744.0;
Notas:

.. Dato no disponibleFuente: S.G. de Coordinación y Seguimiento Universitario. Ministerio de  Educación, Cultura y Deporte
